title;author;rating;votes;url;page
"Алена Ивлева — Солнечный свет";"";"";"";"https://fantasy-worlds.org/lib/id38806/";"5"
"Коллектив авторов — Заклятья метели. Колядки других миров (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38805/";"5"
"Софи Ким — Ставка на месть";"";"";"";"https://fantasy-worlds.org/lib/id38849/";"3"
"Шарлотта Гилман — Желтые обои. Женландия (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38848/";"3"
"Сьюзан Деннард — Колдун ветра";"";"";"";"https://fantasy-worlds.org/lib/id38847/";"3"
"Сьюзан Деннард — Испытание молчанием";"";"";"";"https://fantasy-worlds.org/lib/id38846/";"3"
"Таня Свон — Культ пустоши";"";"";"";"https://fantasy-worlds.org/lib/id38845/";"3"
"Рико Сакураи — Крылья бабочки";"";"";"";"https://fantasy-worlds.org/lib/id38844/";"3"
"Эмма Нойес — Душа тьмы";"";"";"";"https://fantasy-worlds.org/lib/id38843/";"3"
"Полина Щербак — Пожираюший";"";"";"";"https://fantasy-worlds.org/lib/id38842/";"3"
"Анастасия Шанскакя — У кота была собака";"";"";"";"https://fantasy-worlds.org/lib/id38841/";"3"
"Анастасия Шанскакя — Кот прямо с неба";"";"";"";"https://fantasy-worlds.org/lib/id38840/";"3"
"Борис Пономарёв — Подводный свет";"";"";"";"https://fantasy-worlds.org/lib/id38839/";"3"
"Нина Дашевская — Несуществующий причал";"";"";"";"https://fantasy-worlds.org/lib/id38838/";"3"
"Анна Орлова — Сковорода и приворот";"";"";"";"https://fantasy-worlds.org/lib/id38837/";"3"
"Алена Тимофеева — Вечная ночь Сары";"";"";"";"https://fantasy-worlds.org/lib/id38836/";"3"
"Анжей Сит — Обряд";"";"";"";"https://fantasy-worlds.org/lib/id38835/";"3"
"Карисса Бродбент — Певчая птица и каменное сердце";"";"";"";"https://fantasy-worlds.org/lib/id38774/";"8"
"Вячеслав Бакулин — Арфа Королей (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38773/";"8"
"Михаил Алексеев — Время «Ч»";"";"";"";"https://fantasy-worlds.org/lib/id38772/";"8"
"Джемма Хатт — Искатели приключений и проклятый замок";"";"";"";"https://fantasy-worlds.org/lib/id38771/";"8"
"Нил Гейман — Океан в конце дороги (перевод Дарьи Селюковой)";"";"";"";"https://fantasy-worlds.org/lib/id38770/";"8"
"Джуно Блэк — Забытые кости в Тенистой Лощине";"";"";"";"https://fantasy-worlds.org/lib/id38769/";"8"
"Дженнифер Адам — Последняя Ветрожея";"";"";"";"https://fantasy-worlds.org/lib/id38768/";"8"
"Яна Вуд — Мы придём из видений и снов";"";"";"";"https://fantasy-worlds.org/lib/id38767/";"8"
"Ева Сталюкова — Воскресшие";"";"";"";"https://fantasy-worlds.org/lib/id38766/";"8"
"Дэниел Краус — Леденцы со вкусом крови";"";"";"";"https://fantasy-worlds.org/lib/id38765/";"8"
"Алекс Белл — Птичий остров";"";"";"";"https://fantasy-worlds.org/lib/id38764/";"8"
"Ника Элаф — Песнь лабиринта";"";"";"";"https://fantasy-worlds.org/lib/id38763/";"8"
"Вильгельм Гримм — Кошмары Братьев Гримм (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38762/";"8"
"Михаил Николаев — Балтийский фактор";"";"";"";"https://fantasy-worlds.org/lib/id38761/";"8"
"Елена Ликина — Деревенская кукольница (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38760/";"8"
"Роберт Стайн — Мой брат – монстр";"";"";"";"https://fantasy-worlds.org/lib/id38744/";"10"
"Виктория Блэк — Призрак";"";"";"";"https://fantasy-worlds.org/lib/id38743/";"10"
"Дэниел Краус — Закат";"";"";"";"https://fantasy-worlds.org/lib/id38742/";"10"
"Норман Спинрад — Жук Джек Баррон. Солариане (Сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38741/";"10"
"Эстер Пак — Девушка, изгоняющая духов";"";"";"";"https://fantasy-worlds.org/lib/id38740/";"10"
"Дэниел Краус — Рассвет";"";"";"";"https://fantasy-worlds.org/lib/id38739/";"10"
"Амброз Бирс — Житель Каркозы (Сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38738/";"10"
"Джеймс Маркерт — Человек-кошмар";"";"";"";"https://fantasy-worlds.org/lib/id38737/";"10"
"Эдит Уортон — Потусторонние истории (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38736/";"10"
"Мира Салье — Корона ночи и крови";"";"";"";"https://fantasy-worlds.org/lib/id38735/";"10"
"Олег Рой — Наперекор страху";"";"";"";"https://fantasy-worlds.org/lib/id38734/";"10"
"Лисса Рин — Последний призыв";"";"";"";"https://fantasy-worlds.org/lib/id38733/";"10"
"Антье Хэрден — В прошлый четверг я спас мир";"";"";"";"https://fantasy-worlds.org/lib/id38732/";"10"
"Анна Гурова — Хозяин ветра";"";"";"";"https://fantasy-worlds.org/lib/id38731/";"10"
"Джин Соул — Девять хвостов бессмертного мастера. Том 6";"";"";"";"https://fantasy-worlds.org/lib/id38730/";"10"
"Халид ан-Насрулла — Белая линия ночи";"";"";"";"https://fantasy-worlds.org/lib/id38759/";"9"
"Маттео Струкул — Семь воронов";"";"";"";"https://fantasy-worlds.org/lib/id38758/";"9"
"Лилия Горская — Осколок звезды";"";"";"";"https://fantasy-worlds.org/lib/id38757/";"9"
"Екатерина Васина — Гнев земли";"";"";"";"https://fantasy-worlds.org/lib/id38756/";"9"
"Светлана Шёпот — Случайная невеста главы тайного сыска";"";"";"";"https://fantasy-worlds.org/lib/id38755/";"9"
"Марина Суржевская — Императорский ловец";"";"";"";"https://fantasy-worlds.org/lib/id38754/";"9"
"Влад Райбер — Магазин жутких игрушек";"";"";"";"https://fantasy-worlds.org/lib/id38753/";"9"
"Дарья Кузнецова — Дрянь с историей";"";"";"";"https://fantasy-worlds.org/lib/id38752/";"9"
"Маргарита Блинова — Некронавт";"";"";"";"https://fantasy-worlds.org/lib/id38751/";"9"
"Мелани Лейн — Король пепла";"";"";"";"https://fantasy-worlds.org/lib/id38750/";"9"
"Ирена Мадир — Хозяин Зимы";"";"";"";"https://fantasy-worlds.org/lib/id38749/";"9"
"Мари Штарк — Обезьяний лес. Том 2";"";"";"";"https://fantasy-worlds.org/lib/id38748/";"9"
"Джулия Кун — Проклятие темных фей";"";"";"";"https://fantasy-worlds.org/lib/id38747/";"9"
"Сана Эванс — Город сгоревшей магии";"";"";"";"https://fantasy-worlds.org/lib/id38746/";"9"
"Анна Лерн — Колдовской вереск";"";"";"";"https://fantasy-worlds.org/lib/id38745/";"9"
"Борис Хантаев — Искусственные ужасы";"";"";"";"https://fantasy-worlds.org/lib/id38789/";"7"
"Хамки   — Убежище Ксинори";"";"";"";"https://fantasy-worlds.org/lib/id38788/";"7"
"Нелли Мёле — Зачарованные крылья";"";"";"";"https://fantasy-worlds.org/lib/id38787/";"7"
"Светлана Алексеевна Кузнецова — Сказ о Владе-вороне";"";"";"";"https://fantasy-worlds.org/lib/id38786/";"7"
"Даниил Калинин — Сентябрь 1939-го";"";"";"";"https://fantasy-worlds.org/lib/id38785/";"7"
"Олег Данильченко — Обнять космос";"";"";"";"https://fantasy-worlds.org/lib/id38784/";"7"
"Ынсан — Дом, где расцветают мечты";"";"";"";"https://fantasy-worlds.org/lib/id38783/";"7"
"Эдит Уортон — Истории с привидениями";"";"";"";"https://fantasy-worlds.org/lib/id38782/";"7"
"Мио Тидзуру — Модные лапки";"";"";"";"https://fantasy-worlds.org/lib/id38781/";"7"
"Нина Шевелинг — Призраки дома на скале";"";"";"";"https://fantasy-worlds.org/lib/id38780/";"7"
"Екатерина Пронина — Калинов мост";"";"";"";"https://fantasy-worlds.org/lib/id38779/";"7"
"Анна Дуплина — Ведьмино зеркальце";"";"";"";"https://fantasy-worlds.org/lib/id38778/";"7"
"Джули Си Дао — И сгустился туман";"";"";"";"https://fantasy-worlds.org/lib/id38777/";"7"
"Кэри Томас — Узоры тьмы";"";"";"";"https://fantasy-worlds.org/lib/id38776/";"7"
"Владимир Михайлов — Капитан Ульдемир: Наследники Ассарта. Может быть, найдется там десять? (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38775/";"7"
"Коллектив авторов — Зимняя романтика. Адвент-календарь историй о любви (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38804/";"6"
"Коллектив авторов — Убийства в «Потерянном раю» (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38803/";"6"
"Максим Кабир — Канун всех нечистых. Ужасы одной осенней ночи (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38802/";"6"
"Уильям Хоуп Ходжсон — Страшные истории. Классические рассказы о Дракуле, Франкенштейне и других монстрах";"";"";"";"https://fantasy-worlds.org/lib/id38801/";"6"
"Дана Брайт — Дитя Меконга";"";"";"";"https://fantasy-worlds.org/lib/id38800/";"6"
"Александр Абрамов — Всадники ниоткуда. Трилогия";"";"";"";"https://fantasy-worlds.org/lib/id38799/";"6"
"Ким Ирён — Любовь короля. Том 3";"";"";"";"https://fantasy-worlds.org/lib/id38798/";"6"
"Ким Ирён — Любовь короля. Том 2";"";"";"";"https://fantasy-worlds.org/lib/id38797/";"6"
"Ким Ирён — Любовь короля. Том 1";"";"";"";"https://fantasy-worlds.org/lib/id38796/";"6"
"Брэм Стокер — Сокровище семи звезд (перевод Марии Куренной)";"";"";"";"https://fantasy-worlds.org/lib/id38795/";"6"
"Priest — Легенда о Фэй. Том 1";"";"";"";"https://fantasy-worlds.org/lib/id38794/";"6"
"СиДжей Пайпер — Тёмный дар";"";"";"";"https://fantasy-worlds.org/lib/id38793/";"6"
